Date,LoT,Process Rate
2021-10-25,18,96.84
2021-10-25,19,97.46
2021-10-25,20,96.88
2021-10-25,21,96.69
2021-10-25,22,84.01
2021-10-26,1,97.69
2021-10-26,2,97.79
2021-10-26,3,96.67
2021-10-26,4,96.04
2021-10-26,5,96.4
2021-10-26,6,96.51
2021-10-26,7,97.37
2021-10-26,8,96.69
2021-10-26,9,96.1
2021-10-26,10,97.69
2021-10-26,11,96.6
2021-10-26,12,97.27
2021-10-26,13,97.02
2021-10-26,14,97.43
2021-10-26,15,97.71
2021-10-26,16,97.7
2021-10-26,17,96.19
2021-10-26,18,97.31
2021-10-26,19,96.22
2021-10-26,20,97.54
2021-10-26,21,96.67
2021-10-26,22,96.66
2021-10-27,1,83.91
2021-10-27,2,96.07
2021-10-27,3,98.42
2021-10-27,4,96.49
2021-10-27,5,96.95
2021-10-27,6,97.59
2021-10-27,7,96.47
2021-10-27,8,97.79
2021-10-27,9,97.57
2021-10-27,10,97.38
2021-10-27,11,96.23
2021-10-27,12,96.72
2021-10-27,13,97.61
2021-10-27,14,96.99
2021-10-27,15,97.76
2021-10-27,16,98.01
2021-10-27,17,97.76
2021-10-27,18,97.29
2021-10-27,19,97.21
2021-10-27,20,98.38
2021-10-27,21,98.36
2021-10-27,22,96.03
